benchmark,operation,mata-runtime-0,mata-runtime-1,mona-runtime-0,mona-runtime-1
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_166.mata,projection,4582,88266,3304,2149
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_166.mata,projection,5188,91128,2489,1643
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_100.mata,projection,3430,86182,1800,1071
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_100.mata,projection,3377,88546,1891,1343
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_100.mata,projection,3677,89172,1097,812
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_209.mata,projection,2201,58654,616,491
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_209.mata,projection,2160,58109,581,468
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_209.mata,projection,2101,57116,603,499
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_214.mata,projection,2455,60484,696,535
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_214.mata,projection,2427,59583,905,673
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Idempotence-escapeString-smt2_214.mata,projection,2079,58355,644,527
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Duality-addslashes-htmlEscape-smt2_3.mata,projection,285,1045,66,56
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Duality-addslashes-htmlEscape-smt2_3.mata,projection,306,994,66,53
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Duality-addslashes-htmlEscape-smt2_3.mata,projection,316,1077,64,52
